I, [2021-04-22T13:54:05.390895 #904]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.11.2)
E, [2021-04-22T13:54:05.394525 #904] ERROR -- Kitchen: ------Exception-------
E, [2021-04-22T13:54:05.394772 #904] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2021-04-22T13:54:05.394859 #904] ERROR -- Kitchen: Message: Kitchen YAML file D:/chef/work/Screening/workshops/2_Tomcat/kitchen.yml does not exist.
E, [2021-04-22T13:54:05.394945 #904] ERROR -- Kitchen: ----------------------
E, [2021-04-22T13:54:05.395024 #904] ERROR -- Kitchen: ------Backtrace-------
E, [2021-04-22T13:54:05.395102 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2021-04-22T13:54:05.395494 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/config.rb:153:in `data'
E, [2021-04-22T13:54:05.395638 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/config.rb:131:in `suites'
E, [2021-04-22T13:54:05.395783 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/config.rb:183:in `filter_instances'
E, [2021-04-22T13:54:05.395907 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/config.rb:142:in `build_instances'
E, [2021-04-22T13:54:05.396021 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/config.rb:116:in `instances'
E, [2021-04-22T13:54:05.396130 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2021-04-22T13:54:05.396238 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2021-04-22T13:54:05.396347 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/command/action.rb:34:in `block in call'
E, [2021-04-22T13:54:05.396479 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/2.7.0/benchmark.rb:293:in `measure'
E, [2021-04-22T13:54:05.396575 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/command/action.rb:33:in `call'
E, [2021-04-22T13:54:05.396711 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/cli.rb:52:in `perform'
E, [2021-04-22T13:54:05.396867 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2021-04-22T13:54:05.396976 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.1.0/lib/thor/command.rb:27:in `run'
E, [2021-04-22T13:54:05.397085 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.1.0/lib/thor/invocation.rb:127:in `invoke_command'
E, [2021-04-22T13:54:05.397190 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.1.0/lib/thor.rb:392:in `dispatch'
E, [2021-04-22T13:54:05.397291 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.1.0/lib/thor/base.rb:485:in `start'
E, [2021-04-22T13:54:05.397407 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/bin/kitchen:11:in `block in <top (required)>'
E, [2021-04-22T13:54:05.397496 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/lib/kitchen/errors.rb:170:in `with_friendly_errors'
E, [2021-04-22T13:54:05.397567 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.11.2/bin/kitchen:11:in `<top (required)>'
E, [2021-04-22T13:54:05.397793 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/bin/kitchen:371:in `load'
E, [2021-04-22T13:54:05.397885 #904] ERROR -- Kitchen: D:/chef/Install/chef-workstation/bin/kitchen:371:in `<main>'
E, [2021-04-22T13:54:05.398009 #904] ERROR -- Kitchen: ----End Backtrace-----
